Koreanisch,Deutsch
것,Ding
하다,Tun
있다,Es gibt
되다,werden
나,Mich
없다,nicht existieren
사람,Person
우리,Wir
아니다,NEIN
같다,Dasselbe
대하다,behandeln
년,Jahr
때문,Weil
말하다,sagen
위하다,für
그러나,Jedoch
알다,wissen
그렇다,Ja
또,Auch
사회,Gesellschaft
많다,viele
좋다,Gute Nacht
더,mehr
받다,erhalten
그것,Das
집,Haus
나오다,herauskommen
그리고,Und
문제,Problem
그런,Das
살다,live
생각하다,Denken
모르다,Ich weiß nicht
속,innen
만들다,machen
데,Ort
두,zwei
앞,Vorderseite
경우,Fall
중,Mitte
어떤,welche
잘,Also
그녀,sie
오다,kommen
문화,Kultur
생각,Gedanke
어떻다,Wie
명,Anzahl der Personen
통하다,passieren
그러다,Dann
소리,Klang
다시,nochmal
다른,anders
이런,Das
여자,weiblich
정도,Grad
뒤,zurück
듣다,Hören
좀,ein wenig
싶다,wollen
함께,zusammen
지나다,Vorbeigehen
많이,viele
너,Du
주다,geben
인간,menschlich
이렇다,So was
어머니,Mutter
의하다,aufgrund
시대,Epoche
다음,nächste
이러하다,Mach das
누구,wer
곳,Ort
여러,mehrere
세계,Welt
운동,trainieren
퍼센트,Prozent
학교,Schule
대통령,Präsident
시작하다,starten
바로,sobald
어느,beliebig
무엇,Was
정부,Regierung
모든,jeden
번,Mal
그거,Das
돈,Geld
국가,Nation
그런데,Jedoch
날,Mich
여기,Hier
여성,weiblich
친구,Freund
마음,Geist
후,nach
가다,gehen
관계,Beziehung
아버지,Vater
남자,Mann
몸,Körper
얼굴,Gesicht
들어가다,eingeben
왜,Warum
나타나다,erscheinen
지역,Region
다르다,anders
모습,Figur
물,Wasser
만나다,treffen
보이다,zeigen
이것,Das
없이,ohne
이번,diesmal
길,Straße
생활,Leben
뿐,nur
사이,zwischen
방법,Methode
새롭다,neu
우리나라,unser Land
내다,Zahlen
앉다,Sitzen
처음,Erste
손,Hand
그때,damals
삶,Leben
찾다,finden
특히,besonders
지금,Jetzt
이야기,Geschichte
교육,Ausbildung
사다,besorgen
경제,Wirtschaft
아직,noch
잡다,Fangen
같이,zusammen
선생님,Lehrer
예술,Kunst
서다,Stand
역사,Geschichte
읽다,lesen
결과,Ergebnis
내용,Detail
동안,während
책,Buch
일어나다,aufwachen
당신,Du
넣다,Einfügung
중요하다,es ist wichtig
무슨,Was
느끼다,fühlen
어렵다,schwierig
힘,Stärke
너무,zu
나라,Land
의미,Bedeutung
밝히다,klären
이미,bereits
정치,Politik
국민,Nation
생명,Leben
얘기,sprechen
학생,Student
연구,Forschung
엄마,Mutter
이름,Name
하나,eins
내리다,aussteigen
사건,Fall
및,Und
쉽다,einfach
짓다,bauen
또한,Auch
이유,Grund
또는,oder
필요하다,brauchen
글,Schreiben
생기다,passieren
사용하다,verwenden
남편,Ehemann
들어오다,hereinkommen
밖,Außen
세상,Welt
작다,klein
대학,Universität
작품,Arbeiten
상황,Situation
가운데,Mitte
보내다,schicken
즉,sozusagen
따라서,daher
상태,Situation
이후,nach
당시,damals
문학,Literatur
더욱,Mehr
아주,sehr
높다,hoch
최근,jüngste
현실,Wirklichkeit
환경,Umfeld
컴퓨터,Computer
먼저,Erste
다니다,gehen
얼마나,wie viel
자체,selbst
열다,offen
머리,Kopf
남다,links
부분,Teil
기업,Unternehmen
거기,Dort
변화,Änderung
아들,Sohn
뜻,Bedeutung
아,Ah
기다리다,Warten
떨어지다,aussteigen
선거,Wahl
관하다,Träne
그냥,Nur so
나누다,teilen
이용하다,verwenden
거의,fast
곧,bald
중심,Center
활동,Aktivität
관심,Interesse
역시,Auch
이거,Das
광고,Werbung
나다,wachsen
방,Zimmer
정신,mental
땅,Erde
이루다,vollenden
아침,Morgen
웃다,lachen
현상,Phänomen
두다,setzen
떠나다,verlassen
기술,Technologie
전체,gesamte
얻다,erhalten
아름답다,Schön
끝,Ende
민족,Menschen
조사,Inspektion
듯,Als ob
입,Mund
뭐,Was
그대로,wie es ist
영화,Film
필요,notwendig
하늘,Himmel
년대,Im Jahr
과학,Wissenschaft
듯하다,aussehen
자연,Natur
구조,Struktur
결국,zu guter Letzt
밥,Reis
입다,aufsetzen
오히려,eher
프로그램,Programm
이루어지다,wahr werden
하루,Tag
그림,malen
마시다,trinken
혼자,allein
나가다,hinausgehen
이제,Jetzt
교수,Professor
사랑,Liebe
전화,Anruf
끝나다,Ende
돌아오다,zurückkommen
아빠,Papa
걸리다,aufhängen
지키다,schützen
한번,einmal
커피,Kaffee
가슴,Brust
길다,lang
바라보다,Ansehen
알아보다,Anfragen
회사,Unternehmen
맛,schmecken
대부분,meistens
산업,Industrie
매우,sehr
오르다,steigen
음식,Essen
표정,Ausdruck
일부,Teil
요즘,in letzter Zeit
계획,planen
느낌,Gefühl
얼마,wie viel
성격,Persönlichkeit
계속,weitermachen
세기,Jahrhundert
세우다,aufstellen
